id, x, y
    12612.00        0.03        1.51
    12613.00        1.51        0.10
    12614.00        1.51        0.20
    12615.00        1.49        0.30
    12616.00        1.47        0.40
    12617.00        1.45        0.49
    12618.00        1.41        0.59
    12619.00        1.37        0.68
    12620.00        1.33        0.77
    12621.00        1.27        0.85
    12622.00        1.22        0.93
    12623.00        1.15        1.01
    12624.00        1.09        1.08
    12625.00        1.01        1.15
    12626.00        0.94        1.22
    12627.00        0.86        1.27
    12628.00        0.77        1.32
    12629.00        0.68        1.37
    12630.00        0.59        1.41
    12631.00        0.50        1.44
    12632.00        0.40        1.47
    12633.00        0.31        1.49
    12634.00        0.21        1.51
    12635.00        0.11        1.51
    12636.00        1.51        0.00
    12637.00        1.51       -0.10
    12638.00        1.51       -0.19
    12639.00        1.51       -0.29
    12640.00        1.51       -0.39
    12641.00        1.51       -0.49
    12642.00        1.51       -0.58
    12643.00        1.51       -0.68
    12644.00        1.51       -0.78
    12645.00        1.51       -0.88
    12646.00        1.51       -0.97
    12647.00        1.51       -1.07
    12648.00        1.51       -1.17
    12649.00        1.51       -1.27
    12650.00        1.51       -1.37
    12651.00        1.51       -1.46
    12652.00        1.46       -1.51
    12653.00        1.36       -1.52
    12654.00        1.27       -1.52
    12655.00        1.17       -1.52
    12656.00        1.06       -1.52
    12657.00        0.96       -1.52
    12658.00        0.86       -1.52
    12659.00        0.77       -1.52
    12660.00        0.66       -1.52
    12661.00        0.57       -1.52
    12662.00        0.46       -1.52
    12663.00        0.37       -1.52
    12664.00        0.27       -1.52
    12665.00        0.17       -1.52
    12666.00        0.07       -1.52
